Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,24928","0,00094172","0,098438",0,0,0,"2,4088","0,0074459","-1,0788E-05","1,0045E-05","0,019027","2,6204E-05","0,021107",0,0,0,0,0,0,package://karbonite_gazebo/meshes/base_link.STL,"0,94902","0,94902",1,1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/base_link.STL,,karbonite_gazebo.iam-1/LeeresChassis.iam-1/Hinterwand_saw.ipt-2;karbonite_gazebo.iam-1/Kamera_gerüst.iam-1/Vorderwand_kamera.ipt-1;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Hinterwand_saw.ipt-1;karbonite_gazebo.iam-1/SpritzschutzluefterVorderwand.ipt-1;karbonite_gazebo.iam-1/SpritzschutzluefterVorderwand.ipt-2;karbonite_gazebo.iam-1/NUC_Bodenplatte.ipt-1;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Seitenwand1_3.ipt-1;karbonite_gazebo.iam-1/Rand_obere_boden_Platte.ipt-1;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Seitenwand1_3.ipt-2;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Luefter.ipt-2;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Seitenrahmen.ipt-2;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Seitenrahmen.ipt-1;karbonite_gazebo.iam-1/LeeresChassis.iam-1/Luefter.ipt-1;karbonite_gazebo.iam-1/Winkel_Grundplatte_Laser.ipt-1;karbonite_gazebo.iam-1/Vorderwand_am_Laser.ipt-1;karbonite_gazebo.iam-1/Winkel_Grundplatte_Laser.ipt-2;karbonite_gazebo.iam-1/groessere_Platte_hinten.ipt-1;karbonite_gazebo.iam-1/Grundplatte.ipt-1;karbonite_gazebo.iam-1/Winkel_Grundplatte_Laser.ipt-3;karbonite_gazebo.iam-1/Winkel_Grundplatte_Laser.ipt-4;karbonite_gazebo.iam-1/Vorderwand_am_Laser.ipt-2;karbonite_gazebo.iam-1/groessere_Platte_hinten.ipt-2;karbonite_gazebo.iam-1/AchseMitRaedern.iam-1/LENKACHSEAA3.IPT-1;karbonite_gazebo.iam-1/AchseMitRaedern.iam-2/LENKACHSEAA3.IPT-1;karbonite_gazebo.iam-1/Kamera_gerüst.iam-1/Kameraanbringung_neu.ipt-1;karbonite_gazebo.iam-1/Kamera_gerüst.iam-1/Kamerahalterungunten.ipt-1;karbonite_gazebo.iam-1/Rand_obere_boden_Platte.ipt-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
servo_rear_right_link,"0,00099933","-0,0025932","-0,031241",0,0,0,"0,059008","2,3491E-05","1,3013E-07","-1,4186E-08","2,0395E-05","1,1544E-09","1,4889E-05",0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_rear_right_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_rear_right_link.STL,,RadMitQuerlenker-4/Querlenker-1,Origin_servo_rear_right_joint,Achse2,servo_rear_right_joint,continuous,"-0,42331","-0,177","0,11625",0,0,0,base_link,0,0,-1,,,,,,,,,,,,
wheel_rear_right_link,"-2,77555756156289E-17","0,0337704934735125","1,17961196366423E-16",0,0,0,"0,884630868166373","0,00239392275781355","-1,5907837106398E-18","2,2158479444034E-19","0,00412819827250571","6,43734067586396E-18","0,00239392275781355",0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_rear_right_link.STL,0,0,0,1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_rear_right_link.STL,,RadMitQuerlenker-4/Rad-1,Origin_wheel_rear_right_joint,Achse3,wheel_rear_right_joint,continuous,0,"-0,0485","-0,03125",0,0,0,servo_rear_right_link,0,1,0,,,,,,,,,,,,
servo_rear_left_link,"0,0009993275896054","0,00259316124596545","-0,0312594633188455",0,0,0,"0,059007646917022","2,34914684648321E-05","-1,30130997675894E-07","1,41861205304795E-08","2,03946365483779E-05","1,15441094507551E-09","1,48892156230834E-05",0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_rear_left_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_rear_left_link.STL,,RadMitQuerlenker-2/Querlenker-1,Origin_servo_rear_left_joint,Achse4,servo_rear_left_joint,continuous,"-0,42331","0,177","0,11625",0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_rear_left_link,"4,1633E-17","-0,03377","-1,1102E-16",0,0,0,"0,88463","0,0023939","-1,9754E-18","-1,5192E-19","0,0041282","6,465E-18","0,0023939",0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_rear_left_link.STL,0,0,0,1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_rear_left_link.STL,,RadMitQuerlenker-2/Rad-1,Origin_wheel_rear_left_joint,Achse5,wheel_rear_left_joint,continuous,0,"0,0485","-0,03125",0,0,0,servo_rear_left_link,0,-1,0,,,,,,,,,,,,
servo_front_left_link,"-0,000999327589604193","0,00259316124596545","-0,0312405366811545",0,0,0,"0,059007646917022","2,34914684648321E-05","1,30130997675904E-07","1,41861205306335E-08","2,03946365483779E-05","-1,15441094504926E-09","1,48892156230834E-05",0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_front_left_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_front_left_link.STL,,RadMitQuerlenker-1/Querlenker-1,Origin_servo_front_left_joint,Achse6,servo_front_left_joint,continuous,"-0,08581","0,177","0,11625",0,0,0,base_link,0,0,-1,,,,,,,,,,,,
wheel_front_left_link,"-5,5511E-17","-0,03377","-6,9389E-18",0,0,0,"0,88463","0,0023939","-1,8283E-18","1,8419E-19","0,0041282","-3,2091E-21","0,0023939",0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_front_left_link.STL,0,0,0,1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_front_left_link.STL,,RadMitQuerlenker-1/Rad-1,Origin_wheel_front_left_joint,Achse7,wheel_front_left_joint,continuous,0,"0,0485","-0,03125",0,0,0,servo_front_left_link,0,-1,0,,,,,,,,,,,,
servo_front_right_link,"-0,00099933","-0,0025932","-0,031259",0,0,0,"0,059008","2,3491E-05","-1,3013E-07","-1,4186E-08","2,0395E-05","-1,1544E-09","1,4889E-05",0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_front_right_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/servo_front_right_link.STL,,RadMitQuerlenker-3/Querlenker-1,Origin_servo_front_right_joint,Achse8,servo_front_right_joint,continuous,"-0,08581","-0,177","0,11625",0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_front_right_link,0,"0,03377","1,3878E-17",0,0,0,"0,88463","0,0023939","-1,6686E-18","-2,7195E-19","0,0041282","1,9111E-19","0,0023939",0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_front_right_link.STL,0,0,0,1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/wheel_front_right_link.STL,,RadMitQuerlenker-3/Rad-1,Origin_wheel_front_right_joint,Achse9,wheel_front_right_joint,continuous,0,"-0,0485","-0,03125",0,0,0,servo_front_right_link,0,1,0,,,,,,,,,,,,
camera_mount_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://karbonite_gazebo/meshes/camera_mount_link.STL,1,1,1,1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/camera_mount_link.STL,,karbonite_gazebo.iam-1/Kamera_gerüst.iam-1/Aluminiumstange.ipt-2;karbonite_gazebo.iam-1/Kamera_gerüst.iam-1/Aluminiumstange.ipt-1;karbonite_gazebo.iam-1/Kamera_gerüst.iam-1/Kugelkopfhalterung1.ipt-1;karbonite_gazebo.iam-1/Kugelkopf.iam-1/Kugelkopf_Basis.ipt-1,Origin_camera_mount_joint,,camera_mount_joint,fixed,"-0,1152","0,02575","0,35075",0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,"0,058175","-0,0091892","0,039128",0,0,0,"0,20617","6,2228E-05","4,4111E-06","6,192E-07","0,00010011","7,5384E-08","9,8254E-05",0,0,0,0,0,0,package://karbonite_gazebo/meshes/camera_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://karbonite_gazebo/meshes/camera_link.STL,,karbonite_gazebo.iam-1/Kamera.iam-1/Objektiv.ipt-1;karbonite_gazebo.iam-1/Kamera.iam-1/Kamerbody.ipt-1;karbonite_gazebo.iam-1/Kugelkopf.iam-1/Kugelkopf_Kugel.ipt-1,Origin_camera_joint,,camera_joint,fixed,0,"-0,025692","0,12659",0,0,0,camera_mount_link,0,0,0,,,,,,,,,,,,
